Species
Xylopia lokobensis
Xylopia longirostra
Xylopia maasiana
Xylopia makiraensis
Xylopia marojejyana
Xylopia microcalyx
Xylopia monosperma
Xylopia mucronata
Xylopia muricata
Xylopia musella
Xylopia niyomdhamii
Xylopia pachysericea
Xylopia pallescens
Xylopia pancheri
Xylopia patoniae
Xylopia phloiodora
Xylopia piratae
Xylopia platycarpa
Xylopia poeppigii
Xylopia poilanei
Xylopia pulchella
Xylopia ravelonarivoi
Xylopia retusa
Xylopia rogstadii
Xylopia sclerophylla
Xylopia sessiliflora
Xylopia sulangwane
Xylopia takeuchii
Xylopia ulei
Xylopia vieillardii
Xylopia vulcanicola
